juz_number,surah_number,surah_name,ayah_number,arabic_text
30,102,At-Takathur,1,أَلْهَاكُمُ التَّكَاثُرُ
30,102,At-Takathur,2,حَتَّىٰ زُرْتُمُ الْمَقَابِرَ
30,102,At-Takathur,3,كَلَّا سَوْفَ تَعْلَمُونَ
30,102,At-Takathur,4,ثُمَّ كَلَّا سَوْفَ تَعْلَمُونَ
30,102,At-Takathur,5,كَلَّا لَوْ تَعْلَمُونَ عِلْمَ الْيَقِينِ
30,102,At-Takathur,6,لَتَرَوُنَّ الْجَحِيمَ
30,102,At-Takathur,7,ثُمَّ لَتَرَوُنَّهَا عَيْنَ الْيَقِينِ
30,102,At-Takathur,8,ثُمَّ لَتُسْأَلُنَّ يَوْمَئِذٍ عَنِ النَّعِيمِ
30,103,Al-Asr,1,وَالْعَصْرِ
30,103,Al-Asr,2,إِنَّ الْإِنسَانَ لَفِي خُسْرٍ
30,103,Al-Asr,3,إِلَّا الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ وَتَوَاصَوْا بِالْحَقِّ وَتَوَاصَوْا بِالصَّبْرِ
30,114,An-Nas,1,قُلْ أَعُوذُ بِرَبِّ النَّاسِ
30,114,An-Nas,2,مَلِكِ النَّاسِ
30,114,An-Nas,3,إِلَٰهِ النَّاسِ
30,114,An-Nas,4,مِن شَرِّ الْوَسْوَاسِ الْخَنَّاسِ
30,114,An-Nas,5,الَّذِي يُوَسْوِسُ فِي صُدُورِ النَّاسِ
30,114,An-Nas,6,مِنَ الْجِنَّةِ وَالنَّاسِ
30,113,Al-Falaq,1,قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ
30,113,Al-Falaq,2,مِن شَرِّ مَا خَلَقَ
30,113,Al-Falaq,3,وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ
30,113,Al-Falaq,4,وَمِن شَرِّ النَّفَّاثَاتِ فِي الْعُقَدِ
30,113,Al-Falaq,5,وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ
30,112,Al-Ikhlas,1,قُلْ هُوَ اللَّهُ أَحَدٌ
30,112,Al-Ikhlas,2,اللَّهُ الصَّمَدُ
30,112,Al-Ikhlas,3,لَمْ يَلِدْ وَلَمْ يُولَدْ
30,112,Al-Ikhlas,4,وَلَمْ يَكُن لَّهُ كُفُوًا أَحَدٌ
